site_no,average_precip
06446700,486.50044444444444
06447500,489.8077777777778
06449000,496.76377777777776
06449100,497.97355555555555
06449500,505.8702222222222
06461500,473.83444444444444
06464100,536.2704444444445
06464500,552.2357777777778
06652000,399.22066666666666
06657000,397.46244444444443
06670500,405.71933333333334
06674500,397.4364444444444
06762500,405.73244444444447
06764880,441.4548888888889
06768000,428.04422222222223
06768020,426.5684444444444
06768035,428.4242222222222
06769000,600.908
06769525,589.7484444444444
06770200,430.37333333333333
06770500,431.91844444444445
06772775,654.4691111111111
06772898,683.0442222222222
06773500,665.4048888888889
06775500,531.4897777777778
06775900,519.1911111111111
06784000,606.2655555555556
06785000,582.8991111111111
06785500,546.5206666666667
06786000,558.3091111111111
06792500,595.7702222222222
06793000,595.8597777777778
06794000,595.7702222222222
06794650,723.4764444444445
06795500,598.116
06796500,473.844
06797500,636.4815555555556
06799000,645.3637777777777
06799100,680.9295555555556
06799315,660.7331111111112
06799350,664.8922222222222
06800000,729.9342222222223
06821500,438.616
06823000,445.584
06823500,460.71866666666665
06824000,469.1531111111111
06824500,445.20511111111114
06827000,452.5191111111111
06827500,456.3877777777778
06828500,454.23466666666667
06834000,461.7944444444444
06835500,476.69866666666667
06836500,522.473111111111
06837000,466.31888888888886
06838000,511.13
06843500,477.06111111111113
06844500,485.43533333333335
06845110,519.0088888888889
06846500,489.0726666666667
06847000,500.60044444444446
06847500,516.0722222222222
06847900,527.8093333333334
06848500,553.3031111111111
06852500,635.1057777777778
06853020,506.8168888888889
06853500,509.48955555555557
06880800,700.7155555555555
07138070,400.53155555555554
07139000,402.2651111111111
07140850,511.5637777777778
07141200,533.7448888888889
07141220,422.6215555555556
07141300,424.7733333333333
07141780,534.2884444444444
07141900,548.9173333333333
07142300,627.6511111111112
07142575,636.4391111111111
07142680,442.88311111111113
07143300,707.9475555555556
07143330,451.42688888888887
07143375,453.45799999999997
07143665,772.6377777777777
07143672,773.7504444444445
07144100,786.3486666666666
07144200,788.4644444444444
07144910,681.3215555555555
07155590,412.76466666666664
07156900,433.9633333333333
07157500,527.3842222222222
07228000,438.96577777777776
07233500,451.38733333333334
07234000,448.8691111111111
07235000,537.5286666666667
07295500,454.9822222222222
07299890,561.1284444444444
08080700,456.62888888888887
