site_no,average_refET
06446700,1701.246
06447500,1684.0686666666668
06449000,1734.6451111111112
06449100,1708.0546666666667
06449500,1707.0397777777778
06461500,1704.9935555555555
06464100,1684.5586666666666
06464500,1696.4164444444443
06652000,1614.8955555555556
06657000,1619.8477777777778
06670500,1620.0235555555555
06674500,1626.0335555555555
06762500,1720.486
06764880,1711.2411111111112
06768000,1689.9055555555556
06768020,1689.0339999999999
06768035,1689.9397777777779
06769000,1687.5764444444444
06769525,1695.3793333333333
06770200,1690.4759999999999
06770500,1691.1437777777778
06772775,1683.1071111111112
06772898,1652.6142222222222
06773500,1688.7162222222223
06775500,1769.9762222222223
06775900,1810.468
06784000,1734.468
06785000,1749.91
06785500,1764.1355555555556
06786000,1758.2442222222223
06792500,1731.6406666666667
06793000,1731.5364444444444
06794000,1731.6406666666667
06794650,1614.3762222222222
06795500,1728.896888888889
06796500,1696.3953333333334
06797500,1671.5115555555556
06799000,1653.8702222222223
06799100,1630.2146666666667
06799315,1646.9844444444445
06799350,1643.6066666666666
06800000,1560.196888888889
06821500,1924.4157777777777
06823000,1920.4515555555556
06823500,1935.8346666666666
06824000,1946.3995555555555
06824500,1926.9586666666667
06827000,1945.033111111111
06827500,1950.800888888889
06828500,1936.050888888889
06834000,1901.9395555555554
06835500,1880.2886666666666
06836500,1937.9
06837000,1918.0895555555555
06838000,1815.2797777777778
06843500,1901.6395555555555
06844500,1893.936888888889
06845110,1975.5024444444443
06846500,1955.8033333333333
06847000,1951.0044444444445
06847500,1956.3015555555555
06847900,1966.043111111111
06848500,1934.7735555555555
06852500,1667.3242222222223
06853020,1900.583111111111
06853500,1898.633111111111
06880800,1694.2411111111112
07138070,1896.8873333333333
07139000,1904.4922222222222
07140850,2124.448888888889
07141200,2128.5808888888887
07141220,1937.040888888889
07141300,1938.3462222222222
07141780,2094.158
07141900,2084.771111111111
07142300,2132.559111111111
07142575,2110.4068888888887
07142680,1952.5664444444444
07143300,2035.8111111111111
07143330,1954.3971111111111
07143375,1953.9888888888888
07143665,1966.4162222222221
07143672,1964.0702222222221
07144100,1949.628888888889
07144200,1947.0722222222223
07144910,2191.695111111111
07155590,2229.9073333333336
07156900,2245.559333333333
07157500,2214.954888888889
07228000,2219.6737777777776
07233500,2372.6742222222224
07234000,2335.4344444444446
07235000,2355.891777777778
07295500,2400.3251111111113
07299890,2423.2980000000002
08080700,2410.711333333333
