site_no,elevation
06827000,1063
06835500,791
06848500,628
07142575,550
07155590,1033
06836500,773
07228000,707
06449100,851
08080700,1027
06794000,478
07299890,743
06461500,700
06768000,704
07140850,661
06768035,696
06800000,376
06447500,934
06792500,480
07138070,899
06449500,705
06799100,476
07143665,439
06834000,840
07233500,917
06768020,712
06799350,396
07144910,567
06824000,949
06773500,472
06796500,357
06764880,958
06824500,911
06785000,544
06827500,917
06449000,913
06772775,527
06446700,764
07235000,730
07139000,864
06464500,629
06674500,1227
07143300,505
06797500,561
06799315,428
06821500,1003
06769000,710
07141900,592
07141220,603
07142300,606
06837000,758
07142680,491
06793000,473
06772898,479
06852500,492
06844500,610
06775500,796
06464100,675
06799000,463
06853020,502
06652000,1423
06770500,565
07143330,448
07141300,570
07234000,731
06794650,441
06843500,690
07156900,718
06795500,441
07157500,671
06847900,721
07144100,412
07143672,429
07143375,407
06880800,436
06847500,612
07295500,1118
06657000,1301
06670500,1288
06775900,856
06769525,698
06847000,671
06786000,691
06784000,588
06785500,759
07144200,415
06853500,462
06770200,654
06762500,1478
06828500,850
06823000,1021
06823500,978
06846500,781
06845110,685
07141780,627
07141200,636
06838000,742
